Intensity.of.color.or.black.and.white.(v),Size.of.the.picture.life.size..larger.or.smaller.(v),Size.of.central.object.s.(v),Distance.of.picture.from.self.(v),Distance.of.central.object.from.self.(v),Intermittent.or.steady.focus.(v),Focus.on.particular.parts.the.way.we.see.in.serials.(v),Moving.or.still.frames.(v),Panorama.or.framed.(v),Brightness.(v),3D.quality.(v),Degree.of.contrast.(v),Movements.of.objects..fast.or.slow(v),Angle.viewed.from.(v),Location.(v),Volume.(A),Tempo.(A),Tonality.(A),Rhythm.regular.irregular(A),Inflections.words.marked.out(A),Timbre.quality.where.resonating.from.(A),Pauses.in.speech.(A),Sound.move.around..spatial.(A),Uniqueness.of.sound.gravelly.smooth.and.so.on(A),Temperature(K),Texture(K),Vibration(K),Pressure(K),Movement(K),Duration(K),Steady.Intermittent(K),Intensity(K),Weight(K),Density(K),Class,Class
Moderate effect,Moderate effect,High effect,Moderate effect,High effect,Less effect,Less effect,Moderate effect,High effect,Less effect,Less effect,High effect,Less effect,Moderate effect,Moderate effect,Less effect,Moderate effect,Moderate effect,High effect,Less effect,Moderate effect,High effect,Less effect,Less effect,High effect,Less effect,Moderate effect,Less effect,High effect,Less effect,High effect,Moderate effect,Less effect,Less effect,Visual,Visual
Less effect,High effect,High effect,High effect,Less effect,Less effect,Moderate effect,Less effect,Moderate effect,High effect,High effect,Moderate effect,Moderate effect,Less effect,Less effect,High effect,High effect,Moderate effect,High effect,Less effect,High effect,Moderate effect,High effect,Moderate effect,Moderate effect,Moderate effect,High effect,High effect,Moderate effect,High effect,Moderate effect,Moderate effect,High effect,Less effect,Auditory,Auditory
Less effect,Moderate effect,High effect,High effect,Moderate effect,Moderate effect,Less effect,Moderate effect,Less effect,High effect,High effect,High effect,Less effect,High effect,Moderate effect,Less effect,Less effect,Moderate effect,High effect,Moderate effect,High effect,High effect,Moderate effect,High effect,Moderate effect,Less effect,High effect,Moderate effect,Less effect,High effect,Moderate effect,Moderate effect,High effect,High effect,Visual,Visual
Moderate effect,High effect,Moderate effect,Moderate effect,Moderate effect,High effect,Moderate effect,High effect,Moderate effect,Less effect,Less effect,High effect,Moderate effect,Moderate effect,High effect,Less effect,Moderate effect,Moderate effect,Moderate effect,Less effect,High effect,Moderate effect,Less effect,High effect,High effect,High effect,Less effect,Less effect,High effect,Less effect,High effect,High effect,High effect,High effect,Kinesthetic,Kinesthetic
Moderate effect,High effect,High effect,Moderate effect,High effect,High effect,Moderate effect,Moderate effect,Less effect,Moderate effect,Less effect,Less effect,High effect,Moderate effect,Less effect,High effect,Less effect,Less effect,Less effect,Less effect,Less effect,Moderate effect,Less effect,High effect,Moderate effect,Less effect,Moderate effect,Moderate effect,Less effect,High effect,High effect,Less effect,Less effect,High effect,Visual,Visual
Less effect,Less effect,High effect,Moderate effect,High effect,Moderate effect,High effect,High effect,Moderate effect,Moderate effect,High effect,Less effect,Moderate effect,Moderate effect,Less effect,High effect,Less effect,Moderate effect,Less effect,High effect,Less effect,Moderate effect,High effect,Less effect,Moderate effect,Less effect,Less effect,High effect,High effect,Moderate effect,High effect,Less effect,Less effect,High effect,Visual,Visual
Moderate effect,Moderate effect,High effect,High effect,Less effect,Less effect,Moderate effect,Less effect,High effect,Less effect,Less effect,Moderate effect,High effect,High effect,Less effect,High effect,High effect,Less effect,High effect,High effect,Less effect,Less effect,High effect,Less effect,Less effect,Moderate effect,Less effect,High effect,High effect,Less effect,Moderate effect,Moderate effect,High effect,Moderate effect,Auditory,Auditory
Moderate effect,High effect,Less effect,Less effect,High effect,Moderate effect,Less effect,Less effect,High effect,Moderate effect,High effect,High effect,Moderate effect,Less effect,Moderate effect,Less effect,High effect,Moderate effect,High effect,Moderate effect,High effect,Moderate effect,Less effect,Less effect,Moderate effect,Moderate effect,High effect,High effect,High effect,High effect,Less effect,High effect,Less effect,High effect,Kinesthetic,Kinesthetic
High effect,High effect,High effect,High effect,High effect,Less effect,High effect,Less effect,High effect,Less effect,Moderate effect,High effect,Moderate effect,Less effect,Moderate effect,Less effect,Moderate effect,Less effect,High effect,High effect,Moderate effect,Less effect,High effect,High effect,High effect,Less effect,Less effect,Less effect,Moderate effect,Moderate effect,High effect,Less effect,High effect,High effect,Visual,Visual
Moderate effect,Less effect,High effect,Less effect,High effect,Moderate effect,High effect,High effect,High effect,Moderate effect,High effect,Moderate effect,Moderate effect,Moderate effect,Less effect,High effect,Less effect,High effect,High effect,Moderate effect,Less effect,Moderate effect,Less effect,Moderate effect,High effect,Less effect,Less effect,Less effect,Less effect,Moderate effect,High effect,Less effect,Moderate effect,Less effect,Visual,Visual
Moderate effect,Less effect,Less effect,Moderate effect,Less effect,Moderate effect,Moderate effect,Moderate effect,Less effect,Less effect,Moderate effect,High effect,High effect,Less effect,Less effect,Moderate effect,High effect,Less effect,Moderate effect,High effect,Less effect,Moderate effect,Less effect,High effect,Moderate effect,High effect,High effect,Less effect,High effect,Less effect,Moderate effect,Moderate effect,Less effect,High effect,Kinesthetic,Kinesthetic
High effect,High effect,High effect,High effect,Moderate effect,Moderate effect,Less effect,Less effect,High effect,Less effect,Less effect,Moderate effect,Less effect,High effect,High effect,Less effect,Less effect,Less effect,High effect,Moderate effect,Moderate effect,Less effect,Moderate effect,Less effect,Less effect,High effect,Less effect,High effect,High effect,Moderate effect,High effect,Moderate effect,Moderate effect,Less effect,Visual,Visual
Less effect,Less effect,Moderate effect,Less effect,Less effect,Moderate effect,Moderate effect,High effect,Moderate effect,Moderate effect,Moderate effect,Less effect,High effect,High effect,High effect,High effect,Less effect,Less effect,Less effect,Moderate effect,Less effect,High effect,Less effect,Less effect,Less effect,Moderate effect,Moderate effect,High effect,Moderate effect,Moderate effect,Moderate effect,High effect,Less effect,Moderate effect,Visual,Visual
High effect,Moderate effect,Less effect,Less effect,Less effect,Less effect,High effect,Moderate effect,High effect,Moderate effect,High effect,Moderate effect,High effect,High effect,Moderate effect,High effect,High effect,Moderate effect,Less effect,High effect,Less effect,Less effect,Moderate effect,Moderate effect,Moderate effect,Moderate effect,Moderate effect,Moderate effect,Less effect,Moderate effect,High effect,High effect,Moderate effect,High effect,Visual,Visual
Moderate effect,High effect,High effect,Moderate effect,Moderate effect,Moderate effect,High effect,Less effect,High effect,Moderate effect,High effect,High effect,Moderate effect,High effect,Less effect,Less effect,Moderate effect,Moderate effect,Less effect,Less effect,High effect,High effect,Moderate effect,High effect,High effect,High effect,High effect,High effect,Moderate effect,Less effect,Less effect,Less effect,Moderate effect,High effect,Visual,Visual
Moderate effect,Moderate effect,Moderate effect,Moderate effect,Less effect,Moderate effect,Moderate effect,Moderate effect,Less effect,Less effect,Less effect,Less effect,Moderate effect,Moderate effect,High effect,Less effect,Less effect,Less effect,Moderate effect,High effect,High effect,Moderate effect,Less effect,Moderate effect,Moderate effect,High effect,Less effect,Moderate effect,High effect,High effect,Moderate effect,Less effect,High effect,Less effect,Kinesthetic,Kinesthetic
Less effect,High effect,Moderate effect,Less effect,High effect,Less effect,High effect,High effect,Less effect,High effect,Less effect,Moderate effect,High effect,High effect,High effect,Moderate effect,Moderate effect,High effect,Moderate effect,Less effect,High effect,High effect,Moderate effect,High effect,Moderate effect,High effect,Less effect,High effect,High effect,Less effect,Moderate effect,Moderate effect,High effect,Moderate effect,Visual,Visual
Moderate effect,Less effect,High effect,Moderate effect,Less effect,Moderate effect,High effect,High effect,High effect,High effect,Less effect,Moderate effect,Moderate effect,Less effect,High effect,High effect,Less effect,Moderate effect,High effect,Less effect,Moderate effect,Less effect,Less effect,High effect,High effect,High effect,High effect,Less effect,Less effect,High effect,Moderate effect,Moderate effect,Moderate effect,High effect,Visual,Visual
Moderate effect,Moderate effect,Moderate effect,High effect,Moderate effect,High effect,High effect,Moderate effect,Less effect,High effect,High effect,Moderate effect,Moderate effect,Less effect,Less effect,High effect,Moderate effect,High effect,High effect,Moderate effect,Less effect,Moderate effect,Moderate effect,Moderate effect,Moderate effect,High effect,Moderate effect,High effect,Moderate effect,Less effect,High effect,Moderate effect,Moderate effect,High effect,Visual,Visual
High effect,High effect,Less effect,High effect,Moderate effect,Less effect,High effect,Moderate effect,High effect,Moderate effect,Moderate effect,Moderate effect,Less effect,Moderate effect,Less effect,Moderate effect,High effect,Less effect,High effect,Moderate effect,Less effect,Moderate effect,Less effect,High effect,Less effect,Moderate effect,High effect,Moderate effect,High effect,High effect,Less effect,Less effect,High effect,Less effect,Visual,Visual
Moderate effect,Less effect,High effect,High effect,High effect,Moderate effect,Moderate effect,Moderate effect,High effect,High effect,Moderate effect,Moderate effect,Less effect,Less effect,Less effect,Less effect,High effect,Moderate effect,Less effect,High effect,Less effect,Moderate effect,Moderate effect,High effect,Less effect,Moderate effect,Moderate effect,Moderate effect,Moderate effect,Less effect,Less effect,High effect,Less effect,Moderate effect,Visual,Visual
High effect,High effect,Less effect,Less effect,High effect,Less effect,High effect,Moderate effect,Less effect,Moderate effect,Less effect,Moderate effect,High effect,High effect,High effect,High effect,High effect,High effect,High effect,Moderate effect,Less effect,Less effect,High effect,High effect,Less effect,Moderate effect,Less effect,High effect,Less effect,Moderate effect,High effect,High effect,High effect,Less effect,Visual,Visual
Less effect,High effect,Moderate effect,Moderate effect,High effect,High effect,Less effect,High effect,High effect,High effect,High effect,Moderate effect,High effect,Moderate effect,High effect,High effect,Moderate effect,High effect,Less effect,Less effect,Moderate effect,Moderate effect,Moderate effect,Moderate effect,Less effect,Less effect,Less effect,Moderate effect,High effect,Moderate effect,Moderate effect,High effect,High effect,Moderate effect,Visual,Visual
Less effect,High effect,Less effect,Moderate effect,Moderate effect,Moderate effect,Less effect,Less effect,High effect,High effect,Less effect,Less effect,Moderate effect,Less effect,Moderate effect,High effect,Moderate effect,High effect,Moderate effect,Moderate effect,High effect,Less effect,Moderate effect,High effect,High effect,High effect,Moderate effect,Less effect,Moderate effect,High effect,Less effect,High effect,Moderate effect,High effect,Kinesthetic,Kinesthetic
Less effect,Less effect,High effect,Less effect,Moderate effect,Less effect,Less effect,Less effect,High effect,Less effect,Less effect,Moderate effect,Less effect,High effect,High effect,High effect,Moderate effect,Less effect,Less effect,Moderate effect,High effect,Moderate effect,Less effect,Moderate effect,High effect,Less effect,Less effect,High effect,Moderate effect,Less effect,High effect,High effect,High effect,Less effect,Kinesthetic,Kinesthetic
